UUID,id,NEW_title,NEW_abstract,NEW_keywords_theme,NEW_keywords_place,NEW_topic_categories,NEW_link_download,NEW_link_information,NEW_link_service_esri,NEW_link_service_wms,NEW_distribution_format,NEW_date_publication,NEW_date_revision,originator,publisher,datasetURI
7cf5baaf-521e-44e5-986a-ea945ecde859,840905,SecondaryNames,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Transportation/Secondary-Street-Names/9zkf-xhz4,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,SecondaryNames
1c172671-954c-4783-ab7c-003d85d10429,840906,Russell Woods,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Russell Woods
31d865aa-6213-466c-81bd-dee2bc505576,840907,Residential Thoroughfares2,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Residential Thoroughfares2
1b1be2e7-da3f-480e-88d5-ee1544ff115e,840900,Virginia Park,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Virginia Park
d92cc086-e526-4eca-964d-2d0596110b83,840901,ZONING,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Government/Zoning-Map/iecw-apwi,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,ZONING
211237a6-455a-4b44-86eb-54b949a66338,840902,Southwest,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Southwest
b002bc1f-ae08-49c2-8b61-518df32fd01a,840903,SMART_BUS_ROUTE_2014,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Transportation/SMART-Bus-Routes/agne-ypdd,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,SMART_BUS_ROUTE_2014
82401886-9aef-41c3-8e70-54e2ffb55d33,840896,Zipcode,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Government/City-of-Detroit-Zip-Code-Boundaries/ruqh-3htk,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Zipcode
d0b3a529-603b-44e7-a3e7-ad333738edbf,840897,Warrendale,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Warrendale
362f5a64-8a14-423d-b19d-3d39f7378358,840898,UDM Marygrove,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,UDM Marygrove
